Year,Country Code,GDP (Billion USD),FDI Percentage,Absolute FDI (Billion USD)
1985.0,CHN,310.13,0.536046583129515,1.662441268259565
1986.0,CHN,300.92,0.623424605798281,1.8760093237681872
1987.0,CHN,327.73,0.847702964733309,2.7781769263204734
1988.0,CHN,408.66,1.02255894629729,4.178789389938505
1989.0,CHN,458.18,0.97565028966922,4.470234497206432
1990.0,CHN,396.59,0.966308310992784,3.832282130566282
1991.0,CHN,413.21,1.13883773180262,4.705791391581606
1992.0,CHN,492.15,2.61316219284371,12.860677732080317
1993.0,CHN,617.43,6.18688207614214,38.19966600272441
1994.0,CHN,561.69,5.98718616500824,33.62942597023479
1995.0,CHN,731.0,4.88086319996149,35.67910999171849
1996.0,CHN,860.47,4.65181266315599,40.02745242265835
1997.0,CHN,957.99,4.72534384272724,45.26832147894268
1998.0,CHN,1024.17,4.43550102416557,45.427070839196524
1999.0,CHN,1088.35,3.74898123668431,40.802037289453686
2000.0,CHN,1205.53,3.47512590256774,41.89368529322487
2001.0,CHN,1333.65,3.5129885385098,46.85097164383595
2002.0,CHN,1465.83,3.60908113491298,52.90299399989493
2003.0,CHN,1656.96,3.48741889929233,57.78513619371419
2004.0,CHN,1949.45,3.48364153462976,67.91184989683985
2005.0,CHN,2290.02,4.55426348223621,104.29354459590566
2006.0,CHN,2754.15,4.508600502911,124.17362075092333
2007.0,CHN,3555.66,4.40098334219288,156.48400430501536
2008.0,CHN,4577.28,3.73361071056151,170.89781633238988
2009.0,CHN,5088.99,2.56889430733347,130.73077441076956
2010.0,CHN,6033.83,4.00354456866117,241.5670732472483
2011.0,CHN,7492.21,3.70880651655626,277.8715727140798
2012.0,CHN,8539.58,2.82710533551379,241.4229218104685
2013.0,CHN,9624.93,3.03985486260271,292.5839026271071
2014.0,CHN,10524.24,2.55924761041391,269.3413607142249
2015.0,CHN,11113.51,2.19217773086009,243.62789133690916
2016.0,CHN,11226.9,1.55563699883085,174.6498102217407
2017.0,CHN,12265.33,1.34912369633213,165.47447346333362
2018.0,CHN,13841.81,1.69389428446517,234.46562845652835
2019.0,CHN,14340.6,1.31071593247948,187.96452901315232
2020.0,CHN,14862.56,1.72317554862906,256.10799982032324
2021.0,CHN,17759.31,1.93078622294539,342.894310770163
2022.0,CHN,17848.54,1.06367348813082,189.8501879984247
1987.0,IND,283.75,0.0760911990543139,0.21590877731661567
1988.0,IND,299.65,0.0307664119671983,0.0921915534597097
1989.0,IND,301.23,0.085156820591001,0.25651789066627234
1990.0,IND,326.61,0.0737400205365026,0.2408422810742711
1991.0,IND,274.84,0.0272255401825463,0.07482667463771024
1992.0,IND,293.26,0.0959419487133591,0.28135935879679685
1993.0,IND,284.19,0.197056426383431,0.5600146581390725
1994.0,IND,333.01,0.297386581392873,0.9903270546964064
1995.0,IND,366.6,0.594986329567619,2.181219884194891
1996.0,IND,399.79,0.617479351603705,2.468620699776453
1997.0,IND,423.19,0.860208959660143,3.640318296385759
1998.0,IND,428.77,0.625286204187866,2.6810396576963127
1999.0,IND,466.87,0.472644191458928,2.2066339366642973
2000.0,IND,476.61,0.765211694280819,3.6470754561118115
2001.0,IND,493.95,1.05638020993358,5.217990046966918
2002.0,IND,523.97,1.01156946489919,5.300320525232285
2003.0,IND,618.36,0.605887857091794,3.746568153112818
2004.0,IND,721.59,0.765596855110284,5.524470346790298
2005.0,IND,834.22,0.886098378458823,7.3920098927791935
2006.0,IND,949.12,2.13016842534495,20.21785455863399
2007.0,IND,1238.7,2.07339404668754,25.68313205631856
2008.0,IND,1224.1,3.62052323540171,44.31882492455233
2009.0,IND,1365.37,2.6515903323548,36.20401892087273
2010.0,IND,1708.46,1.6350340943491,27.93390348831663
2011.0,IND,1823.05,2.00206346299866,36.49861796219707
2012.0,IND,1827.64,1.31293453035285,23.995716650540825
2013.0,IND,1856.72,1.5162764665976,28.15300841061096
2014.0,IND,2039.13,1.69565958990744,34.57670339567958
2015.0,IND,2103.59,2.09211521443308,44.009526439292834
2016.0,IND,2294.8,1.93736412244347,44.45863188183275
2017.0,IND,2651.47,1.50731583255886,39.966027105548406
2018.0,IND,2702.93,1.5582148380149,42.11745632115613
2019.0,IND,2835.61,1.7848263395712,50.61071416751491
2020.0,IND,2674.85,2.40620322673673,64.36232701036742
2021.0,IND,3167.27,1.41217101040886,44.7272687613767
2022.0,IND,3353.47,1.48921120524665,49.94025100458484
2023.0,IND,3567.55,0.790728300354094,28.20962747928248
